"term","estimate","std.error","statistic","p.value"
"(Intercept)",1.52472152412675,0.81209463701136,1.87751704621271,0.201242431658133
"ferritin10.3",0.399477246332213,0.663072494509518,0.602463908004073,0.608075334873495
"ferritin11",0.90777732001934,0.93772611457192,0.968062322156558,0.435140224720945
"ferritin11.1",0.00902152129337157,0.93772611457192,0.00962063565595587,0.993197340694333
"ferritin11.6",0.654145118552488,0.663072494509518,0.986536350050785,0.427866881274125
"ferritin13.5",2.20998753006544,0.93772611457192,2.35675160979634,0.142533174581199
"ferritin13.8",0.931967152738257,0.663072494509518,1.40552829510391,0.295074567592966
"ferritin14.1",-0.641173738713041,0.663072494509518,-0.966973813605893,0.435572945289406
"ferritin14.3",1.00372323392728,0.93772611457192,1.07037995245071,0.396498434329785
"ferritin14.5",0.455422293885273,0.93772611457192,0.485666642752268,0.675200913966579
"ferritin16.6",0.874922997766271,0.93772611457192,0.933026162085377,0.449303666446639
"ferritin18.9",-1.13521089943356,0.93772611457192,-1.21059964289444,0.349699087791492
"ferritin19.2",0.937790522743283,0.663072494509518,1.41431069831509,0.292868936078879
"ferritin2.7",-1.10292803683689,0.663072494509518,-1.66335965670351,0.238141570557671
"ferritin20.3",0.544197906696933,0.93772611457192,0.580337796122233,0.620360990622738
"ferritin20.6",0.51430400483231,0.93772611457192,0.548458656360545,0.63842049155326
"ferritin22.1",0.210044209104807,0.663072494509518,0.316774124766221,0.781423084233355
"ferritin23.7",0.88447976568542,0.663072494509517,1.33391110777364,0.313848333295103
"ferritin26.4",1.15654822713858,0.93772611457192,1.23335397102229,0.342728604483439
"ferritin27",0.0966027846772078,0.663072494509518,0.145689627419496,0.897524215485334
"ferritin27.4",0.92267768866964,0.663072494509518,1.39151856894947,0.298635805227283
"ferritin28",0.185060153525888,0.93772611457192,0.197349898493943,0.861791758656557
"ferritin29.8",1.20682641854812,0.93772611457192,1.28697111000161,0.326948641513064
"ferritin32.5",0.176846468978274,0.93772611457192,0.188590747586257,0.867816350639542
"ferritin34.8",1.8662628035948,0.93772611457192,1.99020030965733,0.184843547271619
"ferritin35",0.776984424374536,0.57423762479596,1.35307125626019,0.308685246295603
"ferritin35.3",-0.696427883646786,0.663072494509518,-1.05030428710807,0.40376904934057
"ferritin35.9",0.381397704381582,0.93772611457192,0.406726120190962,0.723604876301994
"ferritin37.3",1.51147826564592,0.663072494509518,2.27950680832264,0.150250826069732
"ferritin38.9",-0.288271335053884,0.663072494509518,-0.434750856717593,0.706156057958452
"ferritin4.3",-0.436497861597832,0.663072494509518,-0.658295835240029,0.577994109053906
"ferritin4.8",1.54612732071259,0.93772611457192,1.64880480204864,0.240960060975583
"ferritin40.8",1.34475325301359,0.663072494509518,2.02806369461656,0.179737441396369
"ferritin41.2",1.31723222616378,0.93772611457192,1.40470890774447,0.295281400075937
"ferritin46.6",0.680336336662256,0.93772611457192,0.725517105783959,0.543544186402751
"ferritin5.3",-0.364640713485756,0.93772611457192,-0.388856306569022,0.734876746371894
"ferritin50.8",0.623974609474683,0.663072494509518,0.941035278406842,0.446022917229272
"ferritin58.9",0.496340766144286,0.663072494509518,0.748546758090811,0.532187719028887
"ferritin6.2",-0.350489736829994,0.57423762479596,-0.610356621885463,0.603742652695969
"ferritin61.1",0.245942550443802,0.663072494509518,0.370913516214737,0.746305067644849
"ferritin66.8",-0.434285164391642,0.663072494509518,-0.6549587986045,0.579754749933804
"ferritin70.7",1.2068627412268,0.663072494509518,1.82010677749426,0.210348261522075
"ferritin76.8",0.880486250530777,0.663072494509518,1.32788836487944,0.315493043623491
"ferritin8.2",-1.60053321358797,0.663072494509518,-2.41381331127587,0.13718034422455
"ferritin8.8",-0.760918985993669,0.663072494509517,-1.14756529986443,0.369898058337013
"ferritin9",-0.650056898111559,0.663072494509518,-0.980370779204788,0.430279494398252
"supplementMNP",0.860138553512577,0.663072494509518,1.29720137788076,0.324037850873217
"supplementNone",NA,NA,NA,NA
"ferritin10.3:supplementMNP",NA,NA,NA,NA
"ferritin11:supplementMNP",NA,NA,NA,NA
"ferritin11.1:supplementMNP",NA,NA,NA,NA
"ferritin11.6:supplementMNP",NA,NA,NA,NA
"ferritin13.5:supplementMNP",NA,NA,NA,NA
"ferritin13.8:supplementMNP",NA,NA,NA,NA
"ferritin14.1:supplementMNP",NA,NA,NA,NA
"ferritin14.3:supplementMNP",NA,NA,NA,NA
"ferritin14.5:supplementMNP",NA,NA,NA,NA
"ferritin16.6:supplementMNP",NA,NA,NA,NA
"ferritin18.9:supplementMNP",NA,NA,NA,NA
"ferritin19.2:supplementMNP",NA,NA,NA,NA
"ferritin2.7:supplementMNP",NA,NA,NA,NA
"ferritin20.3:supplementMNP",NA,NA,NA,NA
"ferritin20.6:supplementMNP",NA,NA,NA,NA
"ferritin22.1:supplementMNP",NA,NA,NA,NA
"ferritin23.7:supplementMNP",NA,NA,NA,NA
"ferritin26.4:supplementMNP",NA,NA,NA,NA
"ferritin27:supplementMNP",NA,NA,NA,NA
"ferritin27.4:supplementMNP",NA,NA,NA,NA
"ferritin28:supplementMNP",NA,NA,NA,NA
"ferritin29.8:supplementMNP",NA,NA,NA,NA
"ferritin32.5:supplementMNP",NA,NA,NA,NA
"ferritin34.8:supplementMNP",NA,NA,NA,NA
"ferritin35:supplementMNP",NA,NA,NA,NA
"ferritin35.3:supplementMNP",NA,NA,NA,NA
"ferritin35.9:supplementMNP",NA,NA,NA,NA
"ferritin37.3:supplementMNP",NA,NA,NA,NA
"ferritin38.9:supplementMNP",NA,NA,NA,NA
"ferritin4.3:supplementMNP",NA,NA,NA,NA
"ferritin4.8:supplementMNP",NA,NA,NA,NA
"ferritin40.8:supplementMNP",NA,NA,NA,NA
"ferritin41.2:supplementMNP",NA,NA,NA,NA
"ferritin46.6:supplementMNP",NA,NA,NA,NA
"ferritin5.3:supplementMNP",NA,NA,NA,NA
"ferritin50.8:supplementMNP",NA,NA,NA,NA
"ferritin58.9:supplementMNP",NA,NA,NA,NA
"ferritin6.2:supplementMNP",NA,NA,NA,NA
"ferritin61.1:supplementMNP",NA,NA,NA,NA
"ferritin66.8:supplementMNP",NA,NA,NA,NA
"ferritin70.7:supplementMNP",NA,NA,NA,NA
"ferritin76.8:supplementMNP",NA,NA,NA,NA
"ferritin8.2:supplementMNP",NA,NA,NA,NA
"ferritin8.8:supplementMNP",NA,NA,NA,NA
"ferritin9:supplementMNP",NA,NA,NA,NA
"ferritin10.3:supplementNone",NA,NA,NA,NA
"ferritin11:supplementNone",NA,NA,NA,NA
"ferritin11.1:supplementNone",NA,NA,NA,NA
"ferritin11.6:supplementNone",NA,NA,NA,NA
"ferritin13.5:supplementNone",NA,NA,NA,NA
"ferritin13.8:supplementNone",NA,NA,NA,NA
"ferritin14.1:supplementNone",NA,NA,NA,NA
"ferritin14.3:supplementNone",NA,NA,NA,NA
"ferritin14.5:supplementNone",NA,NA,NA,NA
"ferritin16.6:supplementNone",NA,NA,NA,NA
"ferritin18.9:supplementNone",NA,NA,NA,NA
"ferritin19.2:supplementNone",NA,NA,NA,NA
"ferritin2.7:supplementNone",NA,NA,NA,NA
"ferritin20.3:supplementNone",NA,NA,NA,NA
"ferritin20.6:supplementNone",NA,NA,NA,NA
"ferritin22.1:supplementNone",NA,NA,NA,NA
"ferritin23.7:supplementNone",NA,NA,NA,NA
"ferritin26.4:supplementNone",NA,NA,NA,NA
"ferritin27:supplementNone",NA,NA,NA,NA
"ferritin27.4:supplementNone",NA,NA,NA,NA
"ferritin28:supplementNone",NA,NA,NA,NA
"ferritin29.8:supplementNone",NA,NA,NA,NA
"ferritin32.5:supplementNone",NA,NA,NA,NA
"ferritin34.8:supplementNone",NA,NA,NA,NA
"ferritin35:supplementNone",NA,NA,NA,NA
"ferritin35.3:supplementNone",NA,NA,NA,NA
"ferritin35.9:supplementNone",NA,NA,NA,NA
"ferritin37.3:supplementNone",NA,NA,NA,NA
"ferritin38.9:supplementNone",NA,NA,NA,NA
"ferritin4.3:supplementNone",NA,NA,NA,NA
"ferritin4.8:supplementNone",NA,NA,NA,NA
"ferritin40.8:supplementNone",NA,NA,NA,NA
"ferritin41.2:supplementNone",NA,NA,NA,NA
"ferritin46.6:supplementNone",NA,NA,NA,NA
"ferritin5.3:supplementNone",NA,NA,NA,NA
"ferritin50.8:supplementNone",NA,NA,NA,NA
"ferritin58.9:supplementNone",NA,NA,NA,NA
"ferritin6.2:supplementNone",NA,NA,NA,NA
"ferritin61.1:supplementNone",NA,NA,NA,NA
"ferritin66.8:supplementNone",NA,NA,NA,NA
"ferritin70.7:supplementNone",NA,NA,NA,NA
"ferritin76.8:supplementNone",NA,NA,NA,NA
"ferritin8.2:supplementNone",NA,NA,NA,NA
"ferritin8.8:supplementNone",NA,NA,NA,NA
"ferritin9:supplementNone",NA,NA,NA,NA
